order_id,promised_delivery_date,actual_delivery_date,delivery_delay_days
ORD-100090,2025-11-16,2025-11-17,1.0
ORD-100091,2025-06-16,2025-06-16,0.0
ORD-100092,2025-06-19,2025-06-19,0.0
ORD-100093,2025-08-08,2025-08-08,0.0
ORD-100094,2025-05-24,2025-05-24,0.0
ORD-100095,2025-09-30,2025-09-30,0.0
ORD-100096,2025-11-28,2025-11-30,2.0
ORD-100097,2025-10-24,2025-10-26,2.0
ORD-100098,2024-06-24,2024-06-24,0.0
ORD-100099,2025-02-24,2025-02-27,3.0
ORD-100100,2025-11-15,2025-11-15,0.0
ORD-100101,2025-10-17,2025-10-17,0.0
ORD-100102,2025-08-16,2025-08-18,2.0
ORD-100103,2025-09-28,2025-09-28,0.0
ORD-100104,2025-12-13,2025-12-13,0.0
ORD-100105,2025-10-09,2025-10-10,1.0
ORD-100106,2024-12-03,2024-12-05,2.0
ORD-100107,2024-05-01,2024-05-01,0.0
ORD-100108,2024-09-14,,
ORD-100109,2025-02-16,2025-02-16,0.0
ORD-100110,2024-11-08,,
ORD-100111,2024-10-27,2024-10-27,0.0
ORD-100112,2025-05-27,2025-05-27,0.0
ORD-100113,2025-04-30,2025-04-30,0.0
ORD-100114,2025-09-16,2025-09-17,1.0
ORD-100115,2024-10-25,2024-10-25,0.0
ORD-100116,2025-08-13,2025-08-15,2.0
ORD-100117,2025-11-14,2025-11-15,1.0
ORD-100118,2024-12-18,2024-12-18,0.0
ORD-100119,2024-09-10,2024-09-11,1.0
ORD-100120,2025-08-19,2025-08-19,0.0
ORD-100121,2025-10-07,2025-10-09,2.0
ORD-100122,2025-07-17,2025-07-17,0.0
ORD-100123,2025-07-04,2025-07-04,0.0
ORD-100124,2025-02-01,2025-02-01,0.0
ORD-100125,2025-06-20,2025-06-20,0.0
ORD-100126,2025-03-12,2025-03-12,0.0
ORD-100127,2025-03-31,2025-04-01,1.0
ORD-100128,2024-08-17,2024-08-17,0.0
ORD-100129,2025-03-22,2025-03-24,2.0
ORD-100130,2025-09-09,2025-09-09,0.0
ORD-100131,2025-11-08,2025-11-09,1.0
ORD-100132,2024-10-15,2024-10-15,0.0
ORD-100133,2025-04-28,2025-04-28,0.0
ORD-100134,2025-05-03,2025-05-03,0.0
ORD-100135,2024-02-20,2024-02-21,1.0
ORD-100136,2025-04-13,2025-04-13,0.0
ORD-100137,2025-09-13,2025-09-13,0.0
ORD-100138,2025-11-24,2025-11-24,0.0
ORD-100139,2026-01-02,2026-01-02,0.0
ORD-100140,2025-12-22,2025-12-22,0.0
ORD-100141,2025-07-25,2025-07-26,1.0
ORD-100142,2024-08-06,2024-08-06,0.0
ORD-100143,2025-03-16,2025-03-16,0.0
ORD-100144,2024-10-12,2024-10-12,0.0
ORD-100145,2025-11-19,,
ORD-100146,2025-03-02,2025-03-04,2.0
ORD-100147,2025-09-18,2025-09-20,2.0
ORD-100148,2025-05-09,2025-05-10,1.0
ORD-100149,2025-04-05,2025-04-05,0.0
ORD-100150,2024-10-09,2024-10-09,0.0
ORD-100151,2025-07-23,,
ORD-100152,2025-05-27,2025-05-27,0.0
ORD-100153,2025-07-14,2025-07-14,0.0
ORD-100154,2025-08-28,2025-08-29,1.0
ORD-100155,2025-12-02,2025-12-02,0.0
ORD-100156,2024-12-28,2024-12-28,0.0
ORD-100157,2025-02-15,2025-02-15,0.0
ORD-100158,2025-12-19,2025-12-19,0.0
ORD-100159,2025-11-24,2025-11-24,0.0
ORD-100160,2025-08-03,2025-08-03,0.0
ORD-100161,2025-10-01,2025-10-01,0.0
ORD-100162,2025-05-10,2025-05-12,2.0
ORD-100163,2025-09-13,2025-09-14,1.0
ORD-100164,2025-11-18,,
ORD-100165,2025-02-28,2025-03-01,1.0
ORD-100166,2025-07-21,2025-07-21,0.0
ORD-100167,2025-10-21,2025-10-22,1.0
ORD-100168,2025-10-24,2025-10-24,0.0
ORD-100169,2025-06-13,2025-06-14,1.0
ORD-100170,2025-10-22,2025-10-22,0.0
ORD-100171,2025-07-27,2025-07-29,2.0
ORD-100172,2025-11-25,2025-11-26,1.0
ORD-100173,2025-02-25,,
ORD-100174,2025-05-14,2025-05-16,2.0
ORD-100175,2025-06-07,2025-06-10,3.0
ORD-100176,2025-12-05,2025-12-07,2.0
ORD-100177,2025-01-01,2025-01-01,0.0
ORD-100178,2025-08-24,2025-08-24,0.0
ORD-100179,2025-03-28,2025-03-28,0.0
ORD-100180,2025-02-17,2025-02-20,3.0
ORD-100181,2024-10-22,2024-10-22,0.0
ORD-100182,2025-04-11,2025-04-11,0.0
ORD-100183,2025-05-13,2025-05-13,0.0
ORD-100184,2025-01-04,2025-01-05,1.0
ORD-100185,2025-09-16,2025-09-16,0.0
ORD-100186,2024-04-02,2024-04-02,0.0
ORD-100187,2025-01-10,2025-01-10,0.0
ORD-100188,2024-09-08,,
ORD-100189,2025-11-26,2025-11-26,0.0
ORD-100190,2025-08-26,2025-08-27,1.0
ORD-100191,2025-10-20,,
ORD-100192,2024-12-09,2024-12-12,3.0
ORD-100193,2025-03-22,2025-03-22,0.0
ORD-100194,2025-08-31,,
ORD-100195,2025-04-29,2025-04-29,0.0
ORD-100196,2025-09-01,,
ORD-100197,2025-07-21,2025-07-21,0.0
ORD-100198,2025-02-21,2025-02-22,1.0
ORD-100199,2025-07-15,,
ORD-100200,2025-11-04,2025-11-04,0.0
ORD-100201,2025-09-17,2025-09-17,0.0
ORD-100202,2025-06-24,2025-06-25,1.0
ORD-100203,2025-02-09,2025-02-10,1.0
ORD-100204,2025-02-11,2025-02-11,0.0
ORD-100205,2025-05-21,2025-05-21,0.0
ORD-100206,2025-10-11,2025-10-12,1.0
ORD-100207,2025-07-02,2025-07-03,1.0
ORD-100208,2025-12-08,2025-12-08,0.0
ORD-100209,2024-11-11,2024-11-11,0.0
ORD-100210,2025-12-16,,
ORD-100211,2025-11-16,2025-11-16,0.0
ORD-100212,2025-08-25,2025-08-25,0.0
ORD-100213,2024-08-01,2024-08-01,0.0
ORD-100214,2025-05-23,2025-05-23,0.0
ORD-100215,2024-11-05,2024-11-05,0.0
ORD-100216,2024-11-03,,
ORD-100217,2024-12-02,2024-12-02,0.0
ORD-100218,2025-10-14,2025-10-14,0.0
ORD-100219,2025-07-09,2025-07-10,1.0
ORD-100220,2025-11-10,2025-11-11,1.0
ORD-100221,2025-11-12,2025-11-12,0.0
ORD-100222,2025-09-29,2025-09-29,0.0
ORD-100223,2024-10-24,2024-10-25,1.0
ORD-100224,2025-02-16,,
ORD-100225,2024-11-04,,
ORD-100226,2025-11-10,2025-11-10,0.0
ORD-100227,2025-09-20,2025-09-20,0.0
ORD-100228,2025-04-10,2025-04-10,0.0
ORD-100229,2025-11-20,2025-11-20,0.0
ORD-100230,2024-09-20,2024-09-20,0.0
ORD-100231,2025-01-14,2025-01-14,0.0
ORD-100232,2024-08-22,2024-08-22,0.0
ORD-100233,2024-12-30,,
ORD-100234,2025-11-29,2025-11-29,0.0
ORD-100235,2024-11-12,2024-11-12,0.0
ORD-100236,2025-02-05,2025-02-07,2.0
ORD-100237,2025-07-28,2025-07-28,0.0
ORD-100238,2025-10-31,2025-10-31,0.0
ORD-100239,2025-11-15,2025-11-15,0.0
ORD-100240,2024-09-02,2024-09-02,0.0
ORD-100241,2025-01-27,2025-01-28,1.0
ORD-100242,2024-04-30,,
ORD-100243,2025-12-22,2025-12-22,0.0
ORD-100244,2025-07-12,2025-07-12,0.0
ORD-100245,2025-06-12,,
ORD-100246,2025-05-12,2025-05-12,0.0
ORD-100247,2025-09-01,2025-09-03,2.0
ORD-100248,2025-07-25,2025-07-26,1.0
ORD-100249,2024-12-03,2024-12-03,0.0
ORD-100250,2025-01-24,2025-01-24,0.0
ORD-100251,2025-08-01,2025-08-04,3.0
ORD-100252,2025-04-05,2025-04-08,3.0
ORD-100253,2025-11-02,2025-11-02,0.0
ORD-100254,2025-02-12,2025-02-13,1.0
ORD-100255,2025-03-12,2025-03-12,0.0
ORD-100256,2024-11-01,2024-11-02,1.0
ORD-100257,2024-11-18,2024-11-19,1.0
ORD-100258,2025-07-06,2025-07-06,0.0
ORD-100259,2025-11-11,2025-11-11,0.0
ORD-100260,2025-06-10,2025-06-11,1.0
ORD-100261,2025-06-27,2025-06-28,1.0
ORD-100262,2025-12-04,2025-12-04,0.0
ORD-100263,2025-07-07,2025-07-09,2.0
ORD-100264,2025-11-08,,
ORD-100265,2024-11-22,2024-11-22,0.0
ORD-100266,2025-11-02,,
ORD-100267,2025-11-02,2025-11-02,0.0
ORD-100268,2024-09-13,2024-09-13,0.0
ORD-100269,2024-10-31,2024-11-03,3.0
ORD-100270,2025-01-01,2025-01-02,1.0
ORD-100271,2025-11-18,2025-11-20,2.0
ORD-100272,2025-03-25,2025-03-26,1.0
ORD-100273,2025-04-25,2025-04-25,0.0
ORD-100274,2025-02-20,2025-02-20,0.0
ORD-100275,2025-06-09,2025-06-09,0.0
ORD-100276,2025-08-20,,
ORD-100277,2025-10-22,2025-10-22,0.0
ORD-100278,2025-08-31,2025-09-01,1.0
ORD-100279,2025-11-01,2025-11-02,1.0
ORD-100280,2025-02-26,,
ORD-100281,2025-04-08,,
ORD-100282,2024-11-13,2024-11-13,0.0
ORD-100283,2025-07-12,2025-07-12,0.0
ORD-100284,2025-11-08,2025-11-08,0.0
ORD-100285,2024-12-11,2024-12-14,3.0
ORD-100286,2025-07-12,2025-07-13,1.0
ORD-100287,2025-09-01,2025-09-01,0.0
ORD-100288,2024-11-27,2024-11-28,1.0
ORD-100289,2025-05-23,2025-05-23,0.0
ORD-100290,2025-04-03,2025-04-03,0.0
ORD-100291,2025-11-10,,
ORD-100292,2024-05-20,2024-05-20,0.0
ORD-100293,2025-11-24,2025-11-26,2.0
ORD-100294,2026-01-02,2026-01-03,1.0
ORD-100295,2025-09-03,2025-09-06,3.0
ORD-100296,2025-08-20,,
ORD-100297,2025-11-21,2025-11-21,0.0
ORD-100298,2024-09-09,2024-09-09,0.0
ORD-100299,2024-04-20,2024-04-21,1.0
ORD-100300,2025-10-10,2025-10-10,0.0
ORD-100301,2024-07-19,2024-07-19,0.0
ORD-100302,2024-07-25,2024-07-27,2.0
ORD-100303,2024-12-01,,
ORD-100304,2024-11-18,2024-11-18,0.0
ORD-100305,2024-12-29,2024-12-31,2.0
ORD-100306,2025-01-12,2025-01-15,3.0
ORD-100307,2024-11-19,2024-11-19,0.0
ORD-100308,2025-03-28,2025-03-28,0.0
ORD-100309,2025-11-16,,
ORD-100310,2024-12-08,2024-12-08,0.0
ORD-100311,2024-07-08,2024-07-08,0.0
ORD-100312,2024-11-05,2024-11-10,5.0
ORD-100313,2025-12-19,2025-12-19,0.0
ORD-100314,2024-10-19,2024-10-19,0.0
ORD-100315,2024-03-06,,
ORD-100316,2025-11-23,2025-11-24,1.0
ORD-100317,2025-06-15,2025-06-18,3.0
ORD-100318,2025-07-04,2025-07-04,0.0
ORD-100319,2025-11-06,2025-11-06,0.0
ORD-100320,2025-07-01,2025-07-01,0.0
ORD-100321,2025-05-31,2025-05-31,0.0
ORD-100322,2025-11-18,2025-11-19,1.0
ORD-100323,2025-02-07,2025-02-07,0.0
ORD-100324,2025-04-08,2025-04-10,2.0
ORD-100325,2024-06-09,2024-06-10,1.0
ORD-100326,2025-08-01,2025-08-01,0.0
ORD-100327,2024-11-03,2024-11-04,1.0
ORD-100328,2025-08-07,2025-08-07,0.0
ORD-100329,2025-06-17,2025-06-18,1.0
ORD-100330,2025-05-19,2025-05-20,1.0
ORD-100331,2025-12-17,2025-12-19,2.0
ORD-100332,2024-05-18,2024-05-18,0.0
ORD-100333,2025-11-03,2025-11-03,0.0
ORD-100334,2024-12-01,2024-12-03,2.0
ORD-100335,2025-01-23,2025-01-23,0.0
ORD-100336,2025-11-07,2025-11-08,1.0
ORD-100337,2025-10-04,,
ORD-100338,2025-05-17,2025-05-19,2.0
ORD-100339,2024-10-28,2024-10-29,1.0
ORD-100340,2024-04-30,2024-05-01,1.0
ORD-100341,2025-08-19,2025-08-19,0.0
ORD-100342,2025-09-17,2025-09-18,1.0
ORD-100343,2024-11-20,2024-11-20,0.0
ORD-100344,2025-04-16,2025-04-18,2.0
ORD-100345,2025-09-23,2025-09-23,0.0
ORD-100346,2024-08-18,2024-08-19,1.0
ORD-100347,2025-11-17,2025-11-17,0.0
ORD-100348,2025-03-03,2025-03-03,0.0
ORD-100349,2025-12-19,2025-12-19,0.0
ORD-100350,2025-06-26,2025-06-26,0.0
ORD-100351,2024-04-03,2024-04-03,0.0
ORD-100352,2024-12-16,2024-12-17,1.0
ORD-100353,2025-10-26,,
ORD-100354,2025-01-24,2025-01-25,1.0
ORD-100355,2025-11-02,2025-11-03,1.0
ORD-100356,2024-12-26,,
ORD-100357,2025-06-25,2025-06-25,0.0
ORD-100358,2025-07-10,2025-07-10,0.0
ORD-100359,2025-05-08,2025-05-08,0.0
ORD-100360,2024-11-09,2024-11-10,1.0
ORD-100361,2025-05-10,,
ORD-100362,2025-07-11,2025-07-11,0.0
ORD-100363,2024-11-29,2024-11-29,0.0
ORD-100364,2024-10-28,2024-10-28,0.0
ORD-100365,2025-05-04,2025-05-04,0.0
ORD-100366,2025-09-22,2025-09-25,3.0
ORD-100367,2025-01-11,2025-01-11,0.0
ORD-100368,2025-09-08,2025-09-08,0.0
ORD-100369,2024-10-16,2024-10-18,2.0
ORD-100370,2025-11-27,2025-11-28,1.0
ORD-100371,2025-10-27,2025-10-27,0.0
ORD-100372,2025-03-08,2025-03-08,0.0
ORD-100373,2025-10-22,2025-10-22,0.0
ORD-100374,2025-11-17,2025-11-17,0.0
ORD-100375,2025-12-29,2025-12-29,0.0
ORD-100376,2025-05-09,2025-05-09,0.0
ORD-100377,2024-07-12,2024-07-12,0.0
ORD-100378,2025-07-24,2025-07-24,0.0
ORD-100379,2025-05-05,2025-05-05,0.0
ORD-100380,2025-08-04,2025-08-04,0.0
ORD-100381,2025-04-22,2025-04-24,2.0
ORD-100382,2025-08-31,2025-08-31,0.0
ORD-100383,2025-11-24,,
ORD-100384,2025-10-24,2025-10-24,0.0
ORD-100385,2025-03-24,2025-03-24,0.0
ORD-100386,2025-01-28,2025-01-28,0.0
ORD-100387,2025-02-17,2025-02-17,0.0
ORD-100388,2025-02-04,2025-02-04,0.0
ORD-100389,2025-07-01,2025-07-01,0.0
ORD-100390,2025-11-17,2025-11-18,1.0
ORD-100391,2025-09-11,2025-09-13,2.0
ORD-100392,2025-06-03,2025-06-05,2.0
ORD-100393,2025-11-10,2025-11-10,0.0
ORD-100394,2024-08-14,2024-08-14,0.0
ORD-100395,2025-07-20,2025-07-20,0.0
ORD-100396,2025-04-11,2025-04-11,0.0
ORD-100397,2025-10-22,2025-10-23,1.0
ORD-100398,2025-09-28,2025-09-28,0.0
ORD-100399,2025-08-21,2025-08-21,0.0
ORD-100400,2025-10-26,2025-10-26,0.0
ORD-100401,2025-02-04,2025-02-04,0.0
ORD-100402,2024-11-08,2024-11-08,0.0
ORD-100403,2025-11-18,2025-11-18,0.0
ORD-100404,2024-08-28,2024-08-28,0.0
ORD-100405,2025-08-02,,
ORD-100406,2025-07-20,2025-07-20,0.0
ORD-100407,2025-06-10,2025-06-10,0.0
ORD-100408,2025-09-11,2025-09-13,2.0
ORD-100409,2025-07-14,,
ORD-100410,2024-11-10,2024-11-10,0.0
ORD-100411,2025-12-04,2025-12-04,0.0
ORD-100412,2025-02-10,2025-02-10,0.0
ORD-100413,2025-12-20,2025-12-21,1.0
ORD-100414,2025-11-13,,
ORD-100415,2025-11-11,2025-11-12,1.0
ORD-100416,2024-05-20,2024-05-20,0.0
ORD-100417,2024-04-11,2024-04-11,0.0
ORD-100418,2025-01-29,2025-01-30,1.0
ORD-100419,2025-10-20,,
ORD-100420,2025-05-15,2025-05-15,0.0
ORD-100421,2025-04-22,2025-04-22,0.0
ORD-100422,2025-07-02,2025-07-02,0.0
ORD-100423,2024-11-30,2024-11-30,0.0
ORD-100424,2025-07-18,2025-07-18,0.0
ORD-100425,2025-10-20,2025-10-21,1.0
ORD-100426,2025-05-13,2025-05-13,0.0
ORD-100427,2025-09-05,2025-09-05,0.0
ORD-100428,2025-08-26,2025-08-26,0.0
ORD-100429,2025-10-22,2025-10-24,2.0
ORD-100430,2024-11-07,,
ORD-100431,2025-09-26,2025-09-26,0.0
ORD-100432,2025-03-06,2025-03-06,0.0
ORD-100433,2025-09-29,2025-09-29,0.0
ORD-100434,2025-08-16,2025-08-18,2.0
ORD-100435,2024-07-13,2024-07-13,0.0
ORD-100436,2025-05-27,2025-05-30,3.0
ORD-100437,2025-11-30,2025-11-30,0.0
ORD-100438,2025-06-01,2025-06-01,0.0
ORD-100439,2025-07-13,2025-07-13,0.0
ORD-100440,2025-08-27,2025-08-27,0.0
ORD-100441,2025-05-09,2025-05-10,1.0
ORD-100442,2024-12-29,2024-12-30,1.0
ORD-100443,2025-03-10,2025-03-10,0.0
ORD-100444,2025-08-19,,
ORD-100445,2025-12-25,2025-12-25,0.0
ORD-100446,2025-08-03,2025-08-04,1.0
ORD-100447,2025-12-10,2025-12-10,0.0
ORD-100448,2025-01-21,2025-01-22,1.0
ORD-100449,2025-05-06,,
ORD-100450,2025-11-09,2025-11-09,0.0
ORD-100451,2025-11-03,2025-11-03,0.0
ORD-100452,2025-06-13,2025-06-14,1.0
ORD-100453,2025-04-02,2025-04-02,0.0
ORD-100454,2025-04-02,2025-04-02,0.0
ORD-100455,2025-10-02,2025-10-05,3.0
ORD-100456,2025-04-21,2025-04-21,0.0
ORD-100457,2024-06-03,2024-06-03,0.0
ORD-100458,2025-11-27,2025-11-27,0.0
ORD-100459,2025-04-01,,
ORD-100460,2025-11-08,2025-11-08,0.0
ORD-100461,2025-04-18,2025-04-19,1.0
ORD-100462,2025-09-27,2025-09-27,0.0
ORD-100463,2025-02-19,2025-02-21,2.0
ORD-100464,2025-10-27,2025-10-29,2.0
ORD-100465,2025-10-02,2025-10-02,0.0
ORD-100466,2025-08-25,2025-08-25,0.0
ORD-100467,2024-07-06,2024-07-08,2.0
ORD-100468,2025-09-05,2025-09-06,1.0
ORD-100469,2025-10-03,2025-10-04,1.0
ORD-100470,2025-11-13,2025-11-13,0.0
ORD-100471,2024-06-10,2024-06-10,0.0
ORD-100472,2025-06-02,2025-06-02,0.0
ORD-100473,2025-04-11,2025-04-11,0.0
ORD-100474,2024-11-11,,
ORD-100475,2025-07-07,2025-07-08,1.0
ORD-100476,2025-05-14,2025-05-14,0.0
ORD-100477,2025-09-30,2025-09-30,0.0
ORD-100478,2025-10-18,2025-10-18,0.0
ORD-100479,2025-12-29,2025-12-29,0.0
ORD-100480,2025-08-18,2025-08-18,0.0
ORD-100481,2024-09-01,2024-09-01,0.0
ORD-100482,2024-04-28,2024-04-28,0.0
ORD-100483,2024-08-19,2024-08-19,0.0
ORD-100484,2025-10-25,2025-10-25,0.0
ORD-100485,2025-04-19,2025-04-19,0.0
ORD-100486,2025-03-22,2025-03-23,1.0
ORD-100487,2025-03-10,2025-03-10,0.0
ORD-100488,2024-11-07,2024-11-07,0.0
ORD-100489,2024-12-27,2024-12-27,0.0
ORD-100490,2024-07-15,2024-07-16,1.0
ORD-100491,2025-05-11,2025-05-11,0.0
ORD-100492,2025-05-10,2025-05-11,1.0
ORD-100493,2025-03-30,2025-03-30,0.0
ORD-100494,2025-03-28,2025-03-28,0.0
ORD-100495,2024-10-21,2024-10-23,2.0
ORD-100496,2024-10-23,2024-10-24,1.0
ORD-100497,2025-11-16,2025-11-16,0.0
ORD-100498,2025-07-05,2025-07-05,0.0
ORD-100499,2025-04-29,2025-04-29,0.0
ORD-100500,2025-02-25,2025-02-25,0.0
ORD-100501,2025-10-05,2025-10-06,1.0
ORD-100502,2025-10-23,,
ORD-100503,2025-09-05,2025-09-06,1.0
ORD-100504,2025-11-01,2025-11-03,2.0
ORD-100505,2025-05-15,2025-05-16,1.0
ORD-100506,2025-11-07,2025-11-09,2.0
ORD-100507,2025-04-28,2025-04-28,0.0
ORD-100508,2025-11-12,2025-11-13,1.0
ORD-100509,2024-11-08,2024-11-08,0.0
ORD-100510,2025-01-18,2025-01-18,0.0
ORD-100511,2024-08-15,,
ORD-100512,2024-08-17,2024-08-18,1.0
ORD-100513,2025-10-30,2025-10-31,1.0
ORD-100514,2024-10-02,2024-10-02,0.0
ORD-100515,2025-01-24,2025-01-25,1.0
ORD-100516,2025-11-08,2025-11-08,0.0
ORD-100517,2025-12-07,2025-12-07,0.0
ORD-100518,2025-12-17,2025-12-17,0.0
ORD-100519,2024-12-08,2024-12-08,0.0
ORD-100520,2024-12-05,2024-12-05,0.0
ORD-100521,2025-11-29,2025-11-29,0.0
ORD-100522,2024-12-09,2024-12-09,0.0
ORD-100523,2025-10-01,2025-10-01,0.0
ORD-100524,2024-11-21,,
ORD-100525,2025-07-15,,
ORD-100526,2024-07-09,2024-07-14,5.0
ORD-100527,2025-11-12,2025-11-12,0.0
ORD-100528,2025-09-12,2025-09-14,2.0
ORD-100529,2025-12-12,2025-12-12,0.0
ORD-100530,2024-10-31,2024-11-01,1.0
ORD-100531,2024-06-11,2024-06-11,0.0
ORD-100532,2024-07-28,2024-07-28,0.0
ORD-100533,2024-10-27,2024-10-27,0.0
ORD-100534,2025-11-08,2025-11-09,1.0
ORD-100535,2025-12-20,,
ORD-100536,2025-11-27,2025-11-27,0.0
ORD-100537,2024-08-03,2024-08-03,0.0
ORD-100538,2025-05-19,2025-05-19,0.0
ORD-100539,2025-07-11,2025-07-13,2.0
ORD-100540,2025-10-10,2025-10-11,1.0
ORD-100541,2025-02-18,2025-02-18,0.0
ORD-100542,2024-10-08,2024-10-10,2.0
ORD-100543,2024-03-16,2024-03-16,0.0
ORD-100544,2025-09-14,2025-09-15,1.0
ORD-100545,2025-01-26,2025-01-26,0.0
ORD-100546,2025-01-27,2025-01-27,0.0
ORD-100547,2025-11-24,2025-11-27,3.0
ORD-100548,2024-12-21,2024-12-22,1.0
ORD-100549,2025-05-29,2025-05-29,0.0
ORD-100550,2024-12-26,2024-12-26,0.0
ORD-100551,2025-06-28,2025-06-29,1.0
ORD-100552,2025-11-18,2025-11-21,3.0
ORD-100553,2025-01-03,2025-01-03,0.0
ORD-100554,2024-08-05,2024-08-05,0.0
ORD-100555,2024-06-01,2024-06-01,0.0
ORD-100556,2024-10-17,2024-10-17,0.0
ORD-100557,2025-10-28,2025-10-30,2.0
ORD-100558,2025-11-10,2025-11-10,0.0
ORD-100559,2025-11-15,2025-11-15,0.0
ORD-100560,2025-10-14,2025-10-15,1.0
ORD-100561,2025-09-26,2025-09-26,0.0
ORD-100562,2025-08-05,2025-08-05,0.0
ORD-100563,2025-10-02,2025-10-02,0.0
ORD-100564,2025-04-30,2025-04-30,0.0
ORD-100565,2024-11-13,2024-11-14,1.0
ORD-100566,2025-11-01,2025-11-01,0.0
ORD-100567,2024-11-15,2024-11-16,1.0
ORD-100568,2024-11-04,2024-11-06,2.0
ORD-100569,2025-04-16,2025-04-16,0.0
ORD-100570,2025-11-18,2025-11-21,3.0
ORD-100571,2025-10-15,2025-10-15,0.0
ORD-100572,2025-03-01,2025-03-01,0.0
ORD-100573,2024-12-27,2024-12-27,0.0
ORD-100574,2025-11-11,2025-11-11,0.0
ORD-100575,2025-06-07,,
ORD-100576,2024-11-10,2024-11-10,0.0
